url,description,selected_route,selected_reason,risk_level,risk_tag,direct_ok,http_proxy_ok,socks5_ok,http_attempts,details
http://qinmeitang.com,发卡后台-0038 http://qinmeitang.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"ok,fail,ok",http-proxy:127.0.0.1:7890#1=ok(1.85s) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=ok(1.73s) | socks5:127.0.0.1:7891=ok(0.00s) | direct=ok(0.04s)
http://www.qinmeitang.com,发卡后台-0040 http://www.qinmeitang.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"ok,ok,fail",http-proxy:127.0.0.1:7890#1=ok(1.39s) | http-proxy:127.0.0.1:7890#2=ok(1.08s) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.01s) | direct=ok(0.05s)
http://66.154.125.61:81,发卡后台-0053 http://66.154.125.61:81,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"ok,fail,fail",http-proxy:127.0.0.1:7890#1=ok(2.26s) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=ok(0.24s)
http://1av1.xyz,发卡后台-0069 http://1av1.xyz,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"fail,ok,ok",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=ok(2.28s) | http-proxy:127.0.0.1:7890#3=ok(2.09s) | socks5:127.0.0.1:7891=ok(0.01s) | direct=ok(0.03s)
http://114.134.187.34:88,发卡后台-0079 http://114.134.187.34:88,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"ok,fail,ok",http-proxy:127.0.0.1:7890#1=ok(1.26s) | http-proxy:127.0.0.1:7890#2=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#3=ok(1.44s) | socks5:127.0.0.1:7891=ok(0.02s) | direct=ok(0.02s)
http://xc6a.com,发卡后台-0086 http://xc6a.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"fail,ok,ok",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=ok(0.94s) | http-proxy:127.0.0.1:7890#3=ok(0.95s) | socks5:127.0.0.1:7891=ok(0.01s) | direct=ok(0.25s)
http://www.xuwbk.com,发卡后台-0091 http://www.xuwbk.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"ok,fail,fail",http-proxy:127.0.0.1:7890#1=ok(1.26s) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=ok(0.27s)
http://zy.3cym.com,发卡后台-0170 http://zy.3cym.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"fail,ok,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=ok(2.34s) | http-proxy:127.0.0.1:7890#3=fail(3.02s:timed out) | socks5:127.0.0.1:7891=ok(0.02s) | direct=ok(0.07s)
http://fk.tlicf.com,发卡后台-0181 http://fk.tlicf.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,False,True,True,"ok,ok,fail",http-proxy:127.0.0.1:7890#1=ok(2.42s) | http-proxy:127.0.0.1:7890#2=ok(2.27s) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.02s) | direct=fail(0.05s:[Errno 11001] getaddrinfo failed)
http://43.160.248.152:8001,发卡后台-0204 http://43.160.248.152:8001,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,False,True,True,"ok,fail,ok",http-proxy:127.0.0.1:7890#1=ok(0.66s) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=ok(1.75s) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(3.00s:timed out)
http://xc94.com,发卡后台-0231 http://xc94.com,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,False,True,True,"fail,ok,ok",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=ok(1.42s) | http-proxy:127.0.0.1:7890#3=ok(0.99s) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(0.20s:[Errno 11001] getaddrinfo failed)
http://fk.cc66.tech,发卡后台-0248 http://fk.cc66.tech,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"fail,ok,ok",http-proxy:127.0.0.1:7890#1=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#2=ok(0.98s) | http-proxy:127.0.0.1:7890#3=ok(1.56s) | socks5:127.0.0.1:7891=ok(0.04s) | direct=ok(0.21s)
http://www.994km.top,发卡后台-0253 http://www.994km.top,http-proxy,HTTP 代理有成功但不稳定，仍优先 HTTP 代理并标记高风控,high,http_proxy_flaky,True,True,True,"fail,ok,ok",http-proxy:127.0.0.1:7890#1=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#2=ok(1.12s) | http-proxy:127.0.0.1:7890#3=ok(1.93s) | socks5:127.0.0.1:7891=ok(0.00s) | direct=ok(0.11s)
